"year","month","day","hour","mintemp","maxtemp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","minpressure","maxpressure","visib","delayed"
2013,1,1,6,39.02,39.92,26.06,59.37,270,13.80936,15.8915353008,0,1011.9,1012.6,10,"1"
2013,1,1,7,39.02,41,26.96,61.63,270,17.2617,19.864419126,0,1011.5,1012.4,10,"1"
2013,1,1,8,39.02,41,28.04,64.43,260,16.11092,18.5401245176,0,1012,1012.7,10,"1"
2013,1,1,9,39.92,41,28.04,62.21,260,17.2617,19.864419126,0,1011.8,1012.6,10,"1"
2013,1,1,10,39.02,39.92,28.04,64.43,260,14.96014,17.2158299092,0,1011.4,1012.1,10,"1"
2013,1,1,11,37.94,39.92,28.04,67.21,260,16.11092,18.5401245176,0,1011.7,1012.6,10,"1"
2013,1,1,12,39.02,39.92,28.04,64.43,260,14.96014,17.2158299092,0,1011.9,1012.5,10,"1"
2013,1,1,13,39.92,39.92,28.04,62.21,260,17.2617,19.864419126,0,1011.8,1012.6,10,"1"
2013,1,1,14,39.92,39.92,28.04,62.21,260,18.41248,21.1887137344,0,1012.2,1013,10,"1"
2013,1,1,15,39.92,41,28.04,59.65,270,16.11092,18.5401245176,0,1012.1,1012.8,10,"1"
2013,1,1,16,39.92,41,26.96,57.33,290,16.11092,18.5401245176,0,1011.1,1011.7,10,"1"
2013,1,1,17,37.4,39.92,28.4,69.67,330,17.2617,19.864419126,0,,,10,"1"
2013,1,1,18,37.4,39.2,28.4,64.93,340,16.11092,18.5401245176,0,,,10,"1"
2013,1,1,19,39.02,39.02,24.08,54.68,310,13.80936,15.8915353008,0,1010.7,1011.2,10,"1"
2013,1,1,20,37.94,39.02,24.08,57.04,310,12.65858,14.5672406924,0,1011.4,1011.9,10,"1"
2013,1,1,21,37.04,37.94,21.02,50.14,330,17.2617,19.864419126,0,1011.7,1012.1,10,"1"
2013,1,1,22,35.96,37.04,19.04,49.83,330,16.11092,18.5401245176,0,1013.2,1013.2,10,"1"
2013,1,1,23,35.06,35.06,14,41.51,310,14.96014,17.2158299092,0,1014.2,1014.2,10,"0"
2013,1,2,5,26.06,26.96,10.94,50.34,320,18.41248,21.1887137344,0,1016.1,1016.3,10,"0"
2013,1,2,6,26.06,26.96,12.92,54.95,330,19.56326,22.5130083428,0,1016.2,1016.4,10,"1"
2013,1,2,7,24.98,26.06,12.02,54.82,330,18.41248,21.1887137344,0,1016.2,1017,10,"1"
2013,1,2,8,24.08,24.98,10.04,52.5,320,17.2617,19.864419126,0,1016.4,1016.6,10,"1"
2013,1,2,9,24.08,24.08,10.04,54.51,330,17.2617,19.864419126,0,1016.7,1016.9,10,"1"
2013,1,2,10,23,24.08,10.04,54.51,350,11.5078,13.242946084,0,1016.5,1017.1,10,"1"
2013,1,2,11,23,24.08,10.04,54.51,340,9.20624,10.5943568672,0,1016.8,1017.2,10,"1"
2013,1,2,12,23,24.98,10.04,54.34,340,10.35702,11.9186514756,0,1017.3,1017.7,10,"1"
2013,1,2,13,24.98,24.98,10.04,52.5,320,13.80936,15.8915353008,0,1017.9,1018.5,10,"1"
2013,1,2,14,26.96,26.96,10.04,48.36,310,12.65858,14.5672406924,0,1018.5,1019,10,"1"
2013,1,2,15,28.04,28.94,10.94,48.15,320,13.80936,15.8915353008,0,1018,1018.6,10,"1"
2013,1,2,16,28.94,30.92,12.02,48.69,300,20.71404,23.8373029512,0,1017.2,1017.8,10,"1"
2013,1,2,17,30.92,32,12.92,46.74,310,18.41248,21.1887137344,0,1016.2,1017.1,10,"1"
2013,1,2,18,32,33.98,12.92,44.74,310,16.11092,18.5401245176,0,1016.8,1017.3,10,"1"
2013,1,2,19,33.98,35.06,14,43.33,330,17.2617,19.864419126,0,1017.3,1017.8,10,"1"
2013,1,2,20,33.08,33.98,12.92,42.84,320,19.56326,22.5130083428,0,1017.8,1018.5,10,"1"
2013,1,2,21,32,33.08,15.08,47.1,310,16.11092,18.5401245176,0,1018.3,1018.8,10,"1"
2013,1,2,22,32,32,14,46.92,300,16.11092,18.5401245176,0,1019.2,1019.8,10,"1"
2013,1,2,23,30.92,30.92,12.02,44.92,310,13.80936,15.8915353008,0,1020.6,1020.6,10,"0"
2013,1,3,5,28.04,30.02,17.96,60.38,320,16.11092,18.5401245176,0,1021.5,1021.9,10,"0"
2013,1,3,6,28.04,30.02,17.06,58.08,320,16.11092,18.5401245176,0,1021.8,1022.2,10,"1"
2013,1,3,7,26.96,28.94,17.06,60.69,320,14.96014,17.2158299092,0,1021.9,1022.5,10,"1"
2013,1,3,8,26.96,28.94,15.98,60.41,330,13.80936,15.8915353008,0,1021.7,1022.3,10,"1"
2013,1,3,9,26.06,28.04,15.98,62.7,340,12.65858,14.5672406924,0,1021.7,1022,10,"1"
2013,1,3,10,26.06,26.96,15.08,62.7,340,9.20624,10.5943568672,0,1021.9,1022.2,10,"1"
2013,1,3,11,26.06,26.06,15.98,65.21,340,12.65858,14.5672406924,0,1022.1,1022.5,10,"1"
2013,1,3,12,26.06,26.06,15.98,65.21,330,10.35702,11.9186514756,0,1022,1022.5,10,"1"
2013,1,3,13,26.06,28.04,17.06,65.84,330,10.35702,11.9186514756,0,1022.1,1022.5,10,"1"
2013,1,3,14,26.06,28.94,17.06,62.97,330,10.35702,11.9186514756,0,1022.5,1022.9,10,"1"
2013,1,3,15,26.96,30.92,15.08,60.41,320,9.20624,10.5943568672,0,1021.8,1022.2,10,"1"
2013,1,3,16,28.94,30.92,14,53.13,,10.35702,11.9186514756,0,1020.8,1021.3,10,"1"
2013,1,3,17,30.92,33.08,12.92,46.74,280,12.65858,14.5672406924,0,1019.6,1020.2,10,"1"
2013,1,3,18,32,33.98,12.92,43,260,11.5078,13.242946084,0,1019,1019.5,10,"1"
2013,1,3,19,33.08,33.98,12.92,41.33,,8.05546,9.2700622588,0,1018.4,1018.9,10,"1"
2013,1,3,20,32,33.08,14,44.92,260,11.5078,13.242946084,0,1018.3,1018.9,10,"1"
2013,1,3,21,30.92,33.08,15.08,51.38,270,13.80936,15.8915353008,0,1018.6,1019.1,10,"1"
2013,1,3,22,30.92,30.92,15.08,51.38,250,13.80936,15.8915353008,0,1019.6,1019.6,10,"1"
2013,1,3,23,30.92,30.92,15.08,51.38,250,14.96014,17.2158299092,0,1019.9,1019.9,10,"1"
2013,1,4,5,30.02,33.98,19.04,60.38,260,16.11092,18.5401245176,0,1017.6,1018.2,10,"0"
2013,1,4,6,28.94,33.98,19.04,63.1,260,17.2617,19.864419126,0,1017.7,1018.4,10,"1"
2013,1,4,7,30.02,33.98,19.94,63.36,260,11.5078,13.242946084,0,1018,1018.6,10,"1"
2013,1,4,8,28.94,33.98,19.94,66.09,270,14.96014,17.2158299092,0,1017.7,1018.4,10,"1"
2013,1,4,9,28.94,33.98,19.94,68.68,280,14.96014,17.2158299092,0,1017.7,1018.5,10,"1"
2013,1,4,10,30.92,35.06,21.02,66.34,270,16.11092,18.5401245176,0,1018,1018.7,10,"1"
2013,1,4,11,33.08,35.06,21.02,60.81,260,16.11092,18.5401245176,0,1018.2,1019,10,"1"
2013,1,4,12,33.98,35.06,21.92,60.93,260,19.56326,22.5130083428,0,1018.2,1019.1,10,"1"
2013,1,4,13,35.06,35.06,21.92,58.37,250,16.11092,18.5401245176,0,1018.6,1019.4,10,"1"
2013,1,4,14,35.06,35.96,21.02,56.18,270,19.56326,22.5130083428,0,1018.7,1019.4,10,"1"
2013,1,4,15,35.96,37.04,19.94,51.78,270,16.11092,18.5401245176,0,1017.8,1018.5,10,"1"
2013,1,4,16,35.96,37.04,19.94,51.78,270,20.71404,23.8373029512,0,1016.5,1017.2,10,"1"
2013,1,4,17,37.04,39.92,19.94,49.62,270,18.41248,21.1887137344,0,1015.3,1016.2,10,"1"
2013,1,4,18,37.94,37.94,19.04,46.09,270,24.16638,27.8101867764,0,1014.6,1015.4,10,"1"
2013,1,4,19,37.94,37.94,19.94,47.89,250,21.86482,25.1615975596,0,1014.2,1014.9,10,"1"
2013,1,4,20,37.04,37.94,19.94,49.62,260,20.71404,23.8373029512,0,1014.1,1014.9,10,"1"
2013,1,4,21,35.96,37.04,19.94,51.78,260,19.56326,22.5130083428,0,1014.4,1015.1,10,"1"
2013,1,4,22,35.96,35.96,19.94,51.78,250,18.41248,21.1887137344,0,1015.6,1015.6,10,"1"
2013,1,4,23,35.96,35.96,21.02,54.21,260,18.41248,21.1887137344,0,1015.6,1015.6,10,"0"
2013,1,5,5,33.08,35.96,17.96,53.36,270,14.96014,17.2158299092,0,1016.8,1017.2,10,"0"
2013,1,5,6,33.08,35.06,17.06,51.33,290,17.2617,19.864419126,0,1017.4,1017.9,10,"1"
2013,1,5,7,32,35.06,17.06,53.6,290,18.41248,21.1887137344,0,1018.5,1018.9,10,"1"
2013,1,5,8,32,33.98,17.06,53.6,290,18.41248,21.1887137344,0,1018.8,1019.4,10,"1"
2013,1,5,9,32,33.98,17.06,53.6,280,14.96014,17.2158299092,0,1019.5,1020.2,10,"1"
2013,1,5,10,32,33.98,17.96,53.6,270,16.11092,18.5401245176,0,1020.6,1021.2,10,"1"
2013,1,5,11,33.08,33.98,17.96,53.36,260,11.5078,13.242946084,0,1021.8,1022.4,10,"1"
2013,1,5,12,32,33.98,19.04,58.37,260,13.80936,15.8915353008,0,1022.6,1023.3,10,"1"
2013,1,5,13,35.06,35.96,19.94,53.66,280,13.80936,15.8915353008,0,1023.8,1024.5,10,"1"
2013,1,5,14,37.04,37.94,21.02,50.14,280,10.35702,11.9186514756,0,1024.4,1024.9,10,"1"
2013,1,5,15,39.92,41,21.02,46.41,320,20.71404,23.8373029512,0,1024.6,1024.9,10,"1"
2013,1,5,16,41,42.98,21.02,44.51,340,18.41248,21.1887137344,0,1024.2,1024.9,10,"1"
2013,1,5,17,42.08,44.06,21.02,42.69,330,16.11092,18.5401245176,0,1023.6,1023.9,10,"1"
2013,1,5,18,42.98,44.06,21.92,42.84,320,11.5078,13.242946084,0,1023.6,1024,10,"1"
2013,1,5,19,42.98,44.06,19.94,39.38,310,11.5078,13.242946084,0,1023.9,1024.1,10,"1"
2013,1,5,20,42.08,42.98,19.04,39.23,310,8.05546,9.2700622588,0,1023.7,1024.4,10,"1"
2013,1,5,21,39.02,42.08,21.02,48.07,310,8.05546,9.2700622588,0,1024,1024.2,10,"1"
2013,1,5,22,37.94,37.94,21.02,50.14,260,5.7539,6.621473042,0,1025,1025,10,"1"
2013,1,5,23,35.96,35.96,24.98,64.03,240,9.20624,10.5943568672,0,1025.2,1025.2,10,"0"
2013,1,6,5,33.98,35.06,24.98,66.36,240,8.05546,9.2700622588,0,1023.3,1023.8,10,"1"
2013,1,6,6,33.98,37.04,24.98,66.36,240,9.20624,10.5943568672,0,1023.1,1023.9,10,"1"
2013,1,6,7,33.98,35.96,26.06,69.4,240,10.35702,11.9186514756,0,1022.2,1023,10,"1"
2013,1,6,8,33.98,37.04,26.06,66.97,250,8.05546,9.2700622588,0,1021.5,1022.1,10,"1"
2013,1,6,9,33.08,35.06,28.04,81.5,230,10.35702,11.9186514756,0,,,10,"1"
2013,1,6,10,33.08,35.6,30.92,91.66,250,8.05546,9.2700622588,0,,,7,"1"
2013,1,6,11,33.8,35.6,30.92,88.42,230,10.35702,11.9186514756,0,,,8,"1"
2013,1,6,12,33.8,35.6,33.8,93.08,240,11.5078,13.242946084,0,,,10,"1"
2013,1,6,13,35.6,35.96,33.8,93.08,250,10.35702,11.9186514756,0,,,7,"1"
2013,1,6,14,35.6,37.04,32,86.59,250,14.96014,17.2158299092,0,,,9,"1"
2013,1,6,15,37.4,39.2,33.8,80.79,270,11.5078,13.242946084,0,,,9,"1"
2013,1,6,16,39.92,42.98,32,73.08,240,12.65858,14.5672406924,0,1017.1,1017.8,10,"1"
2013,1,6,17,42.08,46.04,32,67.22,270,12.65858,14.5672406924,0,1016.1,1016.8,10,"1"
2013,1,6,18,42.98,46.94,30.92,62.16,240,13.80936,15.8915353008,0,1015.4,1016.1,10,"1"
2013,1,6,19,44.96,48.02,30.02,55.56,250,14.96014,17.2158299092,0,1014.9,1015.6,10,"1"
2013,1,6,20,44.06,46.94,28.94,55.02,260,11.5078,13.242946084,0,1014.8,1015.5,10,"1"
2013,1,6,21,41,46.04,28.04,59.65,260,11.5078,13.242946084,0,1015,1015.8,10,"1"
2013,1,6,22,41,41,28.94,61.89,240,10.35702,11.9186514756,0,1016.3,1016.3,10,"1"
2013,1,6,23,42.98,42.98,26.06,50.94,260,14.96014,17.2158299092,0,1016.7,1016.7,10,"0"
2013,1,7,5,39.92,42.08,26.96,59.5,290,14.96014,17.2158299092,0,1017.8,1018.3,10,"0"
2013,1,7,6,37.94,41,26.96,64.29,300,13.80936,15.8915353008,0,1018.5,1019,10,"1"
2013,1,7,7,35.96,39.92,26.96,69.51,290,13.80936,15.8915353008,0,1019,1019.4,10,"1"
